feature,importance,importance_std
veh_type,0.1675981068213893,0.005854414336921164
event_cause,0.02547274414846794,0.0032243377933488175
latitude,0.02386918192712346,0.010127851623948955
dow,0.003880451871553836,0.0017795316637984884
time_bucket,0.002765531803974608,0.0019764905730994035
requires_road_closure,0.0017472516627764722,0.0003888930903914028
corridor,0.0013100660643096563,0.00122519052685284
zone,0.00011183442276263555,0.0002308876813992785
event_type,0.0,0.0
is_weekend,0.0,0.0
hour,-0.001166324820860809,0.004563105169235601
month,-0.002066927764699722,0.001568602405432101
longitude,-0.0029287117270534015,0.0016892008654379642
